der	0.898735704430462
a	0.212558045331074
bin	0.0516305468993109
du	0.403308118253603
le	0.575159560917996
degli	0.0300502687669483
da	1.05783003483834
um	0.0375132958233707
d	0.017661527278104
ag	0.00222398025410421
della	0.167933163909328
in	0.00239486095769909
lo	0.057484403502016
vom	0.0876952583585116
im	0.0136120325400343
dem	0.0174931091378612
ab	0.0714984998712141
de	3.46131145516306
zu	0.180566308716518
des	0.0905278958188938
di	0.831508434210803
af	0.0543989190453622
do	0.172160942903696
ten	0.0808974866995636
las	0.0303830844170393
la	0.81431594962462
vander	0.0307157948998453
ter	0.0634671912715609
ben	0.0290511901295051
del	0.607295971979061
und	0.0488548848672831
zur	0.063789620355722
von	2.11944020314434
zum	0.0282178997701523
den	0.43938387464264
dal	0.0724581614478653
dos	0.365011638169404
los	0.0499986899152927
deL	0.000171242532051292
el	0.132886222689493
van	2.15608942461319
